,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,H_ELO,A_ELO,IDX
0,2012-08-24,Borussia Dortmund,Werder Bremen,2,1,0,1.3,5.5,9.0,1.33,5.25,9.25,2684,2492,0
1,2012-08-25,VfB Stuttgart,VfL Wolfsburg,0,1,2,2.0,3.5,3.6,2.05,3.6,3.5,2466,2471,1
2,2012-08-25,FC Augsburg,Fortuna Düsseldorf,0,2,2,2.0,3.5,3.6,2.1,3.3,3.4,2358,2380,2
3,2012-08-25,Eintracht Frankfurt,Bayer Leverkusen,2,1,0,2.8,3.4,2.4,3.0,3.6,2.3,2353,2555,3
4,2012-08-25,SC Freiburg,1. FSV Mainz 05,1,1,1,2.5,3.3,2.75,2.5,3.2,2.8,2364,2349,4
5,2012-08-25,SpVgg Greuther Fürth,Bayern München,0,3,2,8.5,4.75,1.36,9.25,4.6,1.34,2384,2726,5
6,2012-08-25,Hamburger SV,1. FC Nürnberg,0,1,2,2.05,3.4,3.5,2.1,3.3,3.4,2288,2196,6
7,2012-08-25,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2,1,0,1.91,3.4,4.0,2.0,3.3,4.0,2502,2525,7
8,2012-08-26,Hannover 96,FC Schalke 04,2,2,1,2.88,3.4,2.38,2.8,3.4,2.4,2438,2461,8
9,2012-08-31,1. FSV Mainz 05,SpVgg Greuther Fürth,0,1,2,1.8,3.5,4.5,1.87,3.5,4.33,2374,2176,9
10,2012-09-01,Fortuna Düsseldorf,Borussia Mönchengladbach,0,0,1,2.9,3.3,2.4,3.0,3.3,2.3,2363,2534,10
11,2012-09-01,TSG 1899 Hoffenheim,Eintracht Frankfurt,0,4,2,2.05,3.4,3.5,2.05,3.3,3.8,2303,2531,11
12,2012-09-01,Bayer Leverkusen,SC Freiburg,2,0,0,1.57,4.0,5.5,1.62,3.9,5.0,2469,2414,12
13,2012-09-01,1. FC Nürnberg,Borussia Dortmund,1,1,1,6.0,4.0,1.55,6.0,4.0,1.53,2401,2610,13
14,2012-09-01,FC Schalke 04,FC Augsburg,3,1,0,1.36,4.75,8.5,1.36,4.75,8.0,2540,2335,14
15,2012-09-01,Werder Bremen,Hamburger SV,2,0,0,1.73,3.75,4.5,1.78,3.75,4.5,2336,2340,15
16,2012-09-02,Bayern München,VfB Stuttgart,6,1,0,1.25,6.0,11.0,1.28,5.5,9.25,2679,2333,16
17,2012-09-02,VfL Wolfsburg,Hannover 96,0,4,2,1.95,3.5,3.75,2.0,3.7,3.6,2376,2211,17
18,2012-09-14,FC Augsburg,VfL Wolfsburg,0,0,1,2.7,3.4,2.5,2.65,3.6,2.55,2344,2471,18
19,2012-09-15,VfB Stuttgart,Fortuna Düsseldorf,0,0,1,1.62,3.8,5.5,1.65,3.8,5.0,2451,2380,19
20,2012-09-15,Borussia Mönchengladbach,1. FC Nürnberg,2,3,2,2.0,3.4,3.75,1.87,3.5,4.0,2485,2196,20
21,2012-09-15,Hannover 96,Werder Bremen,3,2,0,2.3,3.4,3.0,2.35,3.5,2.95,2445,2492,21
22,2012-09-15,SpVgg Greuther Fürth,FC Schalke 04,0,2,2,3.75,3.5,1.95,4.1,3.6,1.83,2374,2461,22
23,2012-09-15,Bayern München,1. FSV Mainz 05,3,1,0,1.17,7.0,15.0,1.17,7.0,14.0,2683,2349,23
24,2012-09-15,Borussia Dortmund,Bayer Leverkusen,3,0,0,1.44,4.33,7.0,1.48,4.1,6.75,2696,2555,24
25,2012-09-16,Eintracht Frankfurt,Hamburger SV,3,2,0,2.0,3.4,3.75,2.0,3.7,3.6,2374,2340,25
26,2012-09-16,SC Freiburg,TSG 1899 Hoffenheim,5,3,0,2.4,3.4,2.8,2.3,3.4,3.1,2376,2525,26
27,2012-09-21,1. FC Nürnberg,Eintracht Frankfurt,1,2,2,2.1,3.4,3.4,2.25,3.7,3.1,2373,2531,27
28,2012-09-22,Fortuna Düsseldorf,SC Freiburg,0,0,1,2.15,3.4,3.3,2.07,3.4,3.45,2380,2414,28
29,2012-09-22,Hamburger SV,Borussia Dortmund,3,2,0,5.25,4.2,1.57,5.5,3.8,1.6,2307,2610,29
30,2012-09-22,1. FSV Mainz 05,FC Augsburg,2,0,0,1.73,3.6,4.75,1.75,3.6,4.5,2377,2335,30
