,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,H_ELO,A_ELO
1375,2006-12-17,Borussia Dortmund,Bayer Leverkusen,1,2,2,0,1,2,17,10,10.0,7.0,11,21,9,1,0,0,0,0,2.3,3.25,3.0,2.2,3.1,3.1,06/07,2610,2555
1376,2006-12-17,Werder Bremen,VfL Wolfsburg,2,1,0,1,1,1,19,11,15.0,7.0,9,26,9,2,0,5,0,0,1.3,5.0,9.0,1.35,4.45,7.5,06/07,2492,2471
1377,2007-01-26,Borussia Dortmund,Bayern München,3,2,0,1,2,2,12,14,10.0,6.0,18,19,4,5,2,2,0,0,3.75,3.2,2.0,3.55,3.25,1.95,06/07,2610,2726
1379,2007-01-27,VfL Bochum,1. FSV Mainz 05,0,1,2,0,1,2,13,16,8.0,7.0,18,27,5,3,1,2,0,0,1.95,3.3,3.8,1.85,3.25,3.95,06/07,2207,2349
1381,2007-01-27,Eintracht Frankfurt,FC Schalke 04,1,3,2,0,1,2,8,10,6.0,8.0,23,22,3,10,1,1,0,0,3.3,3.25,2.15,3.3,3.15,2.1,06/07,2531,2461
1382,2007-01-27,Hertha BSC,VfL Wolfsburg,2,1,0,1,1,1,12,15,10.0,9.0,18,27,5,11,2,3,0,0,1.72,3.6,4.5,1.65,3.45,4.9,06/07,2390,2471
1383,2007-01-27,1. FC Nürnberg,VfB Stuttgart,4,1,0,1,1,1,19,9,15.0,5.0,12,17,6,2,2,3,0,1,2.5,3.1,2.8,2.65,2.9,2.65,06/07,2196,2333
1385,2007-01-28,Werder Bremen,Hannover 96,3,0,0,1,0,0,16,12,11.0,4.0,9,22,6,7,1,2,0,0,1.3,4.75,10.0,1.35,4.3,8.0,06/07,2492,2211
1386,2007-01-30,Bayern München,VfL Bochum,0,0,1,0,0,1,22,8,12.0,6.0,11,21,7,2,1,2,0,0,1.22,5.5,13.0,1.2,6.0,10.0,06/07,2726,2207
1387,2007-01-30,Borussia Mönchengladbach,1. FC Nürnberg,0,0,1,0,0,1,7,7,1.0,4.0,21,34,9,3,1,2,0,0,2.4,3.2,2.87,2.5,3.0,2.7,06/07,2534,2196
1389,2007-01-30,VfL Wolfsburg,Eintracht Frankfurt,2,2,1,1,0,0,11,15,6.0,9.0,22,27,5,3,1,2,0,0,2.0,3.2,3.75,1.9,3.15,3.9,06/07,2471,2531
1391,2007-01-31,Hannover 96,Hertha BSC,5,0,0,3,0,0,14,10,9.0,5.0,19,15,7,3,1,2,0,0,2.5,3.2,2.75,2.5,3.1,2.65,06/07,2211,2390
1392,2007-01-31,Bayer Leverkusen,Werder Bremen,0,2,2,0,1,2,19,18,10.0,8.0,19,20,8,8,0,3,1,0,3.0,3.25,2.3,3.05,3.25,2.15,06/07,2555,2492
1393,2007-01-31,1. FSV Mainz 05,Borussia Dortmund,1,0,0,0,0,1,13,13,5.0,7.0,21,16,7,1,2,3,0,0,3.1,3.2,2.25,2.9,3.25,2.25,06/07,2349,2610
1395,2007-02-02,1. FC Nürnberg,Bayern München,3,0,0,1,0,0,9,15,6.0,8.0,21,21,3,10,4,3,0,0,3.8,3.3,1.95,3.8,3.2,1.9,06/07,2196,2726
1399,2007-02-03,Eintracht Frankfurt,1. FSV Mainz 05,0,0,1,0,0,1,13,12,6.0,5.0,19,23,8,5,1,1,0,0,1.95,3.3,3.8,1.9,3.2,3.8,06/07,2531,2349
1400,2007-02-03,Hertha BSC,Hamburger SV,2,1,0,0,1,2,16,18,10.0,9.0,18,26,5,4,3,3,0,0,1.95,3.3,3.8,1.85,3.35,3.85,06/07,2390,2340
1401,2007-02-03,VfL Wolfsburg,Bayer Leverkusen,3,2,0,2,1,0,13,14,9.0,8.0,16,20,3,3,1,1,0,1,2.5,3.25,2.7,2.55,3.15,2.55,06/07,2471,2555
1402,2007-02-04,Borussia Dortmund,VfB Stuttgart,0,1,2,0,0,1,10,12,6.0,5.0,16,16,7,4,1,1,0,0,2.3,3.25,3.0,2.25,3.15,2.95,06/07,2610,2333
1403,2007-02-04,Werder Bremen,FC Schalke 04,0,2,2,0,1,2,15,11,9.0,6.0,21,21,4,4,5,5,0,0,1.8,3.4,4.33,1.95,3.25,3.6,06/07,2492,2461
1404,2007-02-09,Hannover 96,VfL Wolfsburg,2,2,1,1,2,2,17,7,11.0,3.0,22,22,9,1,3,2,0,0,2.05,3.25,3.5,1.95,3.1,3.8,06/07,2211,2471
1405,2007-02-10,Hamburger SV,Borussia Dortmund,3,0,0,2,0,0,14,7,10.0,4.0,19,21,2,2,0,1,0,1,2.3,3.25,3.0,2.1,3.0,3.45,06/07,2340,2610
1406,2007-02-10,Bayer Leverkusen,Eintracht Frankfurt,2,2,1,1,1,1,13,14,6.0,7.0,23,27,4,5,2,1,1,1,1.72,3.4,5.0,1.65,3.45,4.9,06/07,2555,2531
1409,2007-02-10,FC Schalke 04,Hertha BSC,2,0,0,0,0,1,18,6,10.0,4.0,19,20,9,2,1,4,0,0,1.61,3.8,5.0,1.6,3.45,5.4,06/07,2461,2390
1410,2007-02-10,VfB Stuttgart,Werder Bremen,4,1,0,3,1,0,13,23,8.0,13.0,21,10,3,7,3,3,0,0,2.8,3.25,2.4,3.0,3.2,2.2,06/07,2333,2492
1412,2007-02-11,VfL Bochum,1. FC Nürnberg,0,2,2,0,0,1,20,17,13.0,10.0,14,12,11,2,1,2,0,0,2.8,3.1,2.5,2.65,2.9,2.65,06/07,2207,2196
1413,2007-02-16,Eintracht Frankfurt,VfB Stuttgart,0,4,2,0,3,2,14,14,10.0,9.0,15,16,3,4,2,1,0,0,3.1,3.2,2.25,3.2,3.1,2.15,06/07,2531,2333
1415,2007-02-17,Borussia Dortmund,Borussia Mönchengladbach,1,0,0,1,0,0,22,13,13.0,8.0,27,14,5,2,4,1,0,0,1.8,3.4,4.5,1.7,3.4,4.6,06/07,2610,2534
1416,2007-02-17,Hertha BSC,1. FSV Mainz 05,1,2,2,1,0,0,15,19,8.0,12.0,20,12,5,3,3,1,0,0,1.66,3.6,5.0,1.6,3.45,5.4,06/07,2390,2349
1417,2007-02-17,Bayer Leverkusen,Hannover 96,0,1,2,0,1,2,12,14,6.0,5.0,20,15,5,5,2,1,0,0,1.9,3.5,3.8,1.85,3.3,3.9,06/07,2555,2211
1418,2007-02-17,Werder Bremen,Hamburger SV,0,2,2,0,1,2,11,7,4.0,5.0,22,31,3,3,3,3,0,0,1.53,4.0,5.5,1.65,3.45,4.9,06/07,2492,2340
1419,2007-02-17,VfL Wolfsburg,FC Schalke 04,2,2,1,0,2,2,7,8,5.0,4.0,19,23,5,6,3,2,0,0,3.4,3.4,2.05,3.5,3.15,2.0,06/07,2471,2461
1422,2007-02-23,VfB Stuttgart,Hertha BSC,0,0,1,0,0,1,30,5,14.0,1.0,22,19,6,0,2,3,0,1,1.72,3.25,4.33,1.7,3.25,4.9,06/07,2333,2390
1423,2007-02-24,Bayern München,VfL Wolfsburg,2,1,0,1,0,0,19,10,9.0,7.0,17,23,3,2,2,4,0,0,1.36,4.2,7.0,1.35,4.35,7.75,06/07,2726,2471
1426,2007-02-24,Hamburger SV,Eintracht Frankfurt,3,1,0,1,0,0,10,12,6.0,7.0,24,17,5,6,0,3,0,0,1.57,3.6,5.0,1.65,3.45,4.9,06/07,2340,2531
1427,2007-02-24,Hannover 96,Borussia Dortmund,4,2,0,0,0,1,14,6,7.0,5.0,18,16,3,0,2,2,0,1,2.2,3.2,2.87,2.25,3.0,3.1,06/07,2211,2610
1428,2007-02-24,1. FSV Mainz 05,1. FC Nürnberg,2,1,0,2,0,0,11,16,7.0,9.0,25,16,2,6,1,3,1,0,2.4,3.2,2.6,2.55,3.05,2.65,06/07,2349,2196
1429,2007-02-25,Borussia Mönchengladbach,Werder Bremen,2,2,1,1,1,1,13,13,8.0,10.0,27,23,4,8,3,1,0,0,3.6,3.4,1.83,3.65,3.2,1.95,06/07,2534,2492
1430,2007-02-25,FC Schalke 04,Bayer Leverkusen,0,1,2,0,0,1,21,7,9.0,2.0,20,19,9,4,2,4,1,0,1.57,3.6,5.0,1.55,3.65,5.5,06/07,2461,2555
1431,2007-03-02,FC Schalke 04,Hamburger SV,0,2,2,0,0,1,22,8,11.0,3.0,22,26,9,1,3,3,0,0,1.85,3.5,4.0,1.9,3.4,3.6,06/07,2461,2340
1433,2007-03-03,Eintracht Frankfurt,Hannover 96,2,0,0,0,0,1,15,13,4.0,4.0,11,16,7,5,0,1,0,0,2.4,3.2,2.87,2.6,3.05,2.6,06/07,2531,2211
1434,2007-03-03,Hertha BSC,Bayern München,2,3,2,0,2,2,13,13,8.0,9.0,16,14,6,5,2,1,1,0,3.0,3.25,2.3,3.0,3.1,2.25,06/07,2390,2726
1435,2007-03-03,Bayer Leverkusen,VfB Stuttgart,3,1,0,2,0,0,13,24,10.0,14.0,19,16,7,13,2,1,0,0,2.4,3.2,2.87,2.55,3.15,2.55,06/07,2555,2333
1436,2007-03-03,Werder Bremen,VfL Bochum,3,0,0,1,0,0,21,5,15.0,2.0,15,27,7,2,0,1,0,0,1.3,5.0,9.0,1.3,4.85,8.0,06/07,2492,2207
1437,2007-03-03,VfL Wolfsburg,Borussia Mönchengladbach,1,0,0,0,0,1,15,19,7.0,10.0,14,18,2,6,0,1,0,0,1.9,3.25,4.0,1.8,3.25,4.25,06/07,2471,2534
1440,2007-03-09,1. FC Nürnberg,Eintracht Frankfurt,2,2,1,0,1,2,20,4,10.0,3.0,12,20,6,3,1,3,0,0,1.8,3.4,4.33,1.8,3.4,4.95,06/07,2196,2531
1441,2007-03-10,VfL Bochum,Borussia Dortmund,2,0,0,0,0,1,16,16,9.0,6.0,16,16,4,1,3,3,0,0,2.5,3.2,2.75,2.75,3.2,2.65,06/07,2207,2610
1443,2007-03-10,Hannover 96,FC Schalke 04,1,1,1,1,1,1,15,12,11.0,9.0,22,15,6,6,1,2,0,0,3.0,3.25,2.3,3.15,3.15,2.4,06/07,2211,2461
1445,2007-03-10,Borussia Mönchengladbach,Hertha BSC,3,1,0,1,0,0,18,19,9.0,12.0,22,13,4,4,2,1,0,0,2.25,3.3,3.0,2.25,3.25,3.35,06/07,2534,2390
1446,2007-03-10,VfB Stuttgart,VfL Wolfsburg,0,0,1,0,0,1,16,8,5.0,6.0,16,18,7,1,2,1,0,0,1.61,3.6,5.5,1.6,3.8,6.05,06/07,2333,2471
1447,2007-03-11,Bayern München,Werder Bremen,1,1,1,1,0,0,19,11,12.0,5.0,17,26,8,2,1,2,0,0,2.05,3.25,3.6,1.95,3.4,4.1,06/07,2726,2492
1448,2007-03-11,Hamburger SV,Bayer Leverkusen,0,0,1,0,0,1,10,15,7.0,9.0,10,18,12,10,0,2,0,0,2.0,3.4,3.5,2.1,3.25,3.75,06/07,2340,2555
1451,2007-03-17,Borussia Dortmund,1. FC Nürnberg,0,0,1,0,0,1,7,8,3.0,3.0,19,27,3,2,2,3,0,0,2.25,3.2,3.1,2.2,3.0,3.2,06/07,2610,2196
1452,2007-03-17,Eintracht Frankfurt,Bayern München,1,0,0,0,0,1,7,21,2.0,12.0,22,17,3,3,1,3,0,0,5.0,3.6,1.66,5.1,3.35,1.65,06/07,2531,2726
1453,2007-03-17,Hannover 96,Hamburger SV,0,0,1,0,0,1,10,10,7.0,5.0,26,19,5,2,1,5,0,0,2.37,3.2,2.9,2.4,3.2,2.7,06/07,2211,2340
1454,2007-03-17,FC Schalke 04,VfB Stuttgart,1,0,0,0,0,1,18,13,10.0,7.0,16,26,5,9,1,2,0,0,1.9,3.25,4.0,1.95,3.2,3.65,06/07,2461,2333
1455,2007-03-17,VfL Wolfsburg,VfL Bochum,3,1,0,2,0,0,12,19,8.0,11.0,22,15,4,9,2,2,0,0,1.95,3.3,3.8,1.85,3.25,3.95,06/07,2471,2207
1456,2007-03-18,Bayer Leverkusen,Borussia Mönchengladbach,1,0,0,0,0,1,15,9,8.0,5.0,15,18,3,10,5,1,0,0,1.66,3.6,5.0,1.65,3.5,4.8,06/07,2555,2534
1457,2007-03-18,Werder Bremen,1. FSV Mainz 05,2,0,0,0,0,1,21,18,9.0,11.0,18,27,2,9,2,4,0,0,1.36,4.5,8.0,1.45,4.3,5.6,06/07,2492,2349
1459,2007-03-31,Bayern München,FC Schalke 04,2,0,0,1,0,0,12,9,11.0,4.0,26,26,7,7,2,3,0,0,2.0,3.25,3.75,1.85,3.35,3.85,06/07,2726,2461
1461,2007-03-31,1. FSV Mainz 05,Bayer Leverkusen,1,3,2,0,2,2,14,11,8.0,8.0,12,16,6,1,2,2,0,0,2.5,3.2,2.75,2.5,3.2,2.6,06/07,2349,2555
1462,2007-03-31,Borussia Mönchengladbach,Eintracht Frankfurt,1,1,1,0,1,2,18,11,9.0,6.0,21,20,10,6,5,3,0,1,2.1,3.25,3.4,2.0,3.15,3.55,06/07,2534,2531
1463,2007-03-31,1. FC Nürnberg,Hertha BSC,2,1,0,1,0,0,16,14,11.0,9.0,20,21,4,8,4,1,0,0,2.0,3.25,3.7,2.05,3.05,3.5,06/07,2196,2390
1465,2007-04-01,VfL Bochum,Hannover 96,2,0,0,2,0,0,7,15,5.0,7.0,23,16,2,6,4,1,0,0,2.4,3.2,2.87,2.6,3.05,2.6,06/07,2207,2211
1466,2007-04-01,Hamburger SV,VfL Wolfsburg,1,0,0,0,0,1,14,13,9.0,8.0,18,23,6,6,2,3,0,0,1.8,3.4,4.5,1.85,3.25,3.95,06/07,2340,2471
1469,2007-04-07,Hamburger SV,VfB Stuttgart,2,4,2,0,3,2,19,14,11.0,11.0,21,14,10,4,1,1,1,1,2.37,3.2,2.9,2.3,3.15,2.9,06/07,2340,2333
1470,2007-04-07,Hannover 96,Bayern München,1,2,2,1,0,0,19,9,10.0,8.0,14,15,7,3,2,2,1,0,4.0,3.4,1.85,4.15,3.3,1.8,06/07,2211,2726
1472,2007-04-07,FC Schalke 04,Borussia Mönchengladbach,2,0,0,0,0,1,26,9,11.0,5.0,19,16,6,6,0,2,0,0,1.44,4.0,7.5,1.4,4.3,6.5,06/07,2461,2534
1473,2007-04-07,VfL Wolfsburg,1. FSV Mainz 05,3,2,0,1,1,1,20,9,13.0,9.0,18,31,5,3,1,2,0,0,2.1,3.25,3.4,2.0,3.15,3.55,06/07,2471,2349
1474,2007-04-08,Bayer Leverkusen,VfL Bochum,1,4,2,0,3,2,18,12,8.0,7.0,16,21,5,5,1,2,1,0,1.61,3.6,5.5,1.5,3.6,6.4,06/07,2555,2207
1475,2007-04-08,Werder Bremen,1. FC Nürnberg,1,0,0,0,0,1,14,12,8.0,6.0,21,23,10,5,2,3,0,0,1.53,3.8,6.0,1.5,3.6,6.4,06/07,2492,2196
1476,2007-04-13,Borussia Mönchengladbach,Hamburger SV,0,1,2,0,0,1,19,14,10.0,8.0,14,18,8,5,1,0,0,0,2.5,3.25,2.7,2.7,3.1,2.45,06/07,2534,2340
1478,2007-04-14,VfL Bochum,Hertha BSC,1,3,2,1,0,0,16,23,8.0,16.0,20,13,3,7,1,1,0,0,2.3,3.25,3.0,2.3,3.15,2.9,06/07,2207,2390
1480,2007-04-14,1. FSV Mainz 05,FC Schalke 04,0,3,2,0,2,2,12,9,7.0,7.0,24,19,5,0,1,1,0,0,3.5,3.3,2.05,3.35,3.2,2.05,06/07,2349,2461
1482,2007-04-14,VfB Stuttgart,Hannover 96,2,1,0,1,0,0,13,18,8.0,10.0,20,20,3,10,0,2,1,0,1.66,3.6,5.0,1.55,3.5,5.9,06/07,2333,2211
1483,2007-04-15,Bayern München,Bayer Leverkusen,2,1,0,1,0,0,17,9,10.0,4.0,10,14,9,7,1,3,0,0,1.44,4.0,7.5,1.5,3.7,6.15,06/07,2726,2555
1484,2007-04-15,Borussia Dortmund,Werder Bremen,0,2,2,0,2,2,12,10,7.0,6.0,23,21,7,3,3,0,0,0,3.0,3.25,2.3,3.25,3.15,2.1,06/07,2610,2492
1486,2007-04-21,Eintracht Frankfurt,VfL Bochum,0,3,2,0,1,2,16,18,9.0,13.0,13,15,7,4,1,1,0,0,2.0,3.3,3.6,2.0,3.2,3.5,06/07,2531,2207
1487,2007-04-21,Hertha BSC,Borussia Dortmund,0,1,2,0,0,1,10,14,4.0,9.0,12,23,4,9,1,1,0,0,2.15,3.3,3.25,2.1,3.1,3.3,06/07,2390,2610
1488,2007-04-21,Bayer Leverkusen,1. FC Nürnberg,2,0,0,1,0,0,9,10,5.0,2.0,27,21,3,2,2,2,0,0,2.1,3.25,3.4,2.0,3.2,3.5,06/07,2555,2196
1490,2007-04-21,VfB Stuttgart,Bayern München,2,0,0,2,0,0,19,9,12.0,6.0,21,21,5,4,0,3,0,0,2.7,3.25,2.5,2.7,3.2,2.4,06/07,2333,2726
1492,2007-04-22,Hamburger SV,1. FSV Mainz 05,2,2,1,1,1,1,12,6,8.0,6.0,21,19,9,1,2,2,0,0,1.66,3.6,5.0,1.65,3.45,4.9,06/07,2340,2349
1493,2007-04-22,Hannover 96,Borussia Mönchengladbach,1,0,0,1,0,0,15,9,6.0,5.0,16,16,1,3,2,4,0,0,1.8,3.4,4.33,1.7,3.35,4.7,06/07,2211,2534
1494,2007-04-27,VfL Bochum,FC Schalke 04,2,1,0,2,1,0,10,15,8.0,8.0,20,16,3,4,4,4,0,0,4.2,3.5,1.8,3.9,3.3,1.85,06/07,2207,2461
1496,2007-04-28,Bayern München,Hamburger SV,1,2,2,1,0,0,16,16,10.0,8.0,14,23,3,8,2,0,0,1,1.5,3.75,7.0,1.5,3.7,6.15,06/07,2726,2340
1497,2007-04-28,Borussia Dortmund,Eintracht Frankfurt,2,0,0,1,0,0,15,12,12.0,7.0,16,18,6,3,2,2,0,0,1.83,3.3,4.33,1.8,3.2,4.3,06/07,2610,2531
1498,2007-04-28,1. FSV Mainz 05,Hannover 96,1,2,2,0,1,2,16,9,7.0,5.0,13,25,5,1,0,1,0,0,2.1,3.25,3.4,2.15,3.25,3.05,06/07,2349,2211
1499,2007-04-28,Borussia Mönchengladbach,VfB Stuttgart,0,1,2,0,0,1,18,15,8.0,8.0,17,7,7,5,2,1,1,0,5.5,3.6,1.61,5.0,3.4,1.65,06/07,2534,2333
1500,2007-04-28,1. FC Nürnberg,VfL Wolfsburg,1,1,1,1,1,1,13,13,4.0,6.0,21,26,3,4,1,0,0,0,1.83,3.4,4.2,1.8,3.2,4.3,06/07,2196,2471
1505,2007-05-05,Hamburger SV,VfL Bochum,0,3,2,0,0,1,23,11,7.0,7.0,16,15,3,1,2,1,0,0,1.83,3.4,4.2,1.81,3.2,4.25,06/07,2340,2207
1506,2007-05-05,Borussia Mönchengladbach,Bayern München,1,1,1,0,1,2,17,17,8.0,10.0,15,9,10,8,1,2,0,0,5.0,3.6,1.66,5.3,3.5,1.6,06/07,2534,2726
1507,2007-05-05,FC Schalke 04,1. FC Nürnberg,1,0,0,0,0,1,22,6,9.0,3.0,15,27,7,1,1,2,0,1,1.44,4.2,7.0,1.5,3.65,6.25,06/07,2461,2196
1508,2007-05-05,VfB Stuttgart,1. FSV Mainz 05,2,0,0,1,0,0,17,11,8.0,6.0,5,19,3,6,2,3,0,0,1.33,4.75,9.0,1.4,4.15,7.0,06/07,2333,2349
1509,2007-05-05,VfL Wolfsburg,Borussia Dortmund,0,2,2,0,1,2,16,9,10.0,6.0,19,13,7,1,0,0,0,0,2.37,3.2,2.9,2.35,3.0,2.95,06/07,2471,2610
1510,2007-05-06,Hertha BSC,Werder Bremen,1,4,2,0,1,2,8,21,1.0,16.0,15,16,4,5,1,2,1,0,3.0,3.4,2.2,3.05,3.25,2.15,06/07,2390,2492
1514,2007-05-12,VfL Bochum,VfB Stuttgart,2,3,2,2,1,0,13,24,8.0,15.0,12,12,4,9,0,0,0,0,3.75,3.4,1.95,3.4,3.3,2.0,06/07,2207,2333
1516,2007-05-12,Borussia Dortmund,FC Schalke 04,2,0,0,1,0,0,17,19,14.0,7.0,28,20,4,5,4,4,0,0,3.1,3.3,2.1,3.05,3.25,2.15,06/07,2610,2461
1517,2007-05-12,Hertha BSC,Bayer Leverkusen,2,3,2,1,2,2,13,16,6.0,11.0,20,21,5,7,4,2,0,0,2.37,3.4,2.75,2.3,3.4,2.7,06/07,2390,2555
1518,2007-05-12,1. FSV Mainz 05,Borussia Mönchengladbach,3,0,0,2,0,0,20,10,9.0,9.0,17,22,2,6,2,3,0,1,1.66,3.6,5.0,1.7,3.75,4.1,06/07,2349,2534
1519,2007-05-12,1. FC Nürnberg,Hamburger SV,0,2,2,0,2,2,20,11,11.0,2.0,17,14,4,2,0,3,0,0,2.1,3.25,3.4,2.1,3.2,3.2,06/07,2196,2340
1520,2007-05-12,Werder Bremen,Eintracht Frankfurt,1,2,2,1,1,1,23,6,13.0,3.0,9,16,10,6,2,1,0,0,1.3,5.0,9.0,1.33,4.65,7.45,06/07,2492,2531
1521,2007-05-19,Bayern München,1. FSV Mainz 05,5,2,0,3,0,0,18,7,11.0,4.0,10,11,3,1,1,1,0,0,1.36,4.5,8.0,1.3,4.6,8.75,06/07,2726,2349
1522,2007-05-19,Eintracht Frankfurt,Hertha BSC,1,2,2,0,0,1,20,18,11.0,11.0,7,17,8,4,0,1,0,0,2.2,3.4,3.0,2.2,3.2,3.0,06/07,2531,2390
1524,2007-05-19,Hannover 96,1. FC Nürnberg,0,3,2,0,0,1,26,15,12.0,8.0,14,5,11,6,3,1,0,0,1.9,3.4,3.8,1.85,3.3,3.9,06/07,2211,2196
1525,2007-05-19,Bayer Leverkusen,Borussia Dortmund,2,1,0,1,0,0,13,12,9.0,9.0,20,21,8,6,1,1,0,0,2.4,3.3,2.8,2.45,3.25,2.6,06/07,2555,2610
1526,2007-05-19,Borussia Mönchengladbach,VfL Bochum,0,2,2,0,1,2,16,24,7.0,14.0,10,15,8,5,3,2,0,0,2.5,3.4,2.62,2.65,3.35,2.35,06/07,2534,2207
1529,2007-05-19,VfL Wolfsburg,Werder Bremen,0,2,2,0,0,1,9,23,3.0,13.0,14,10,7,7,0,0,0,0,3.6,3.6,1.9,3.4,3.4,1.95,06/07,2471,2492
1530,2005-08-05,Bayern München,Borussia Mönchengladbach,3,0,0,1,0,0,19,10,6.0,3.0,15,18,5,9,4,2,1,0,1.3,5.0,9.5,1.35,4.2,8.0,05/06,2726,2534
1531,2005-08-06,MSV Duisburg,VfB Stuttgart,1,1,1,1,1,1,11,11,4.0,4.0,19,19,5,4,5,3,0,1,2.75,3.25,2.25,2.85,3.35,2.2,05/06,2186,2333
1532,2005-08-06,1. FC Köln,1. FSV Mainz 05,1,0,0,0,0,1,14,19,5.0,6.0,31,38,5,2,2,3,0,0,2.1,3.25,3.0,1.95,3.3,3.5,05/06,2289,2349
1533,2005-08-06,Hamburger SV,1. FC Nürnberg,3,0,0,2,0,0,12,17,4.0,6.0,14,15,2,4,2,2,0,0,1.57,3.4,5.5,1.55,3.7,5.35,05/06,2340,2196
1534,2005-08-06,Hannover 96,Hertha BSC,2,2,1,0,0,1,12,15,4.0,5.0,15,12,2,8,2,0,0,0,2.4,3.2,2.6,2.5,3.15,2.6,05/06,2211,2390
1536,2005-08-06,VfL Wolfsburg,Borussia Dortmund,2,2,1,1,0,0,12,16,4.0,5.0,18,11,5,6,2,1,0,0,2.37,3.2,2.62,2.5,3.35,2.5,05/06,2471,2610
1537,2005-08-07,Eintracht Frankfurt,Bayer Leverkusen,1,4,2,1,1,1,17,13,6.0,4.0,21,23,7,3,1,0,0,0,2.75,3.25,2.25,2.7,3.35,2.3,05/06,2531,2555
1538,2005-08-07,FC Schalke 04,1. FC Kaiserslautern,2,1,0,0,1,2,24,7,8.0,2.0,17,24,12,4,1,1,0,0,1.5,3.5,6.0,1.5,3.8,5.8,05/06,2461,2076
1540,2005-08-13,Borussia Dortmund,FC Schalke 04,1,2,2,1,1,1,10,15,3.0,5.0,22,22,2,3,0,3,0,0,2.5,3.0,2.62,2.4,3.25,2.65,05/06,2610,2461
1541,2005-08-13,Hertha BSC,Eintracht Frankfurt,2,0,0,0,0,1,13,12,4.0,4.0,19,23,9,2,3,2,0,0,1.44,3.75,6.5,1.35,4.5,7.2,05/06,2390,2531
1542,2005-08-13,1. FC Kaiserslautern,MSV Duisburg,5,3,0,2,1,0,28,11,9.0,4.0,21,15,4,3,3,3,0,0,1.72,3.25,4.33,1.7,3.5,4.4,05/06,2076,2186
1543,2005-08-13,Bayer Leverkusen,Bayern München,2,5,2,1,3,2,15,13,5.0,4.0,13,12,7,1,1,0,0,0,2.75,3.2,2.25,3.0,3.4,2.1,05/06,2555,2726
1544,2005-08-13,Borussia Mönchengladbach,VfL Wolfsburg,1,1,1,0,1,2,16,8,5.0,3.0,16,23,20,1,1,3,0,1,2.1,3.25,3.0,2.1,3.3,3.1,05/06,2534,2471
1545,2005-08-13,1. FC Nürnberg,Hannover 96,1,1,1,0,1,2,23,13,8.0,4.0,8,18,4,6,0,3,0,0,2.25,3.2,2.75,2.15,3.3,3.0,05/06,2196,2211
1546,2005-08-14,1. FSV Mainz 05,Werder Bremen,0,2,2,0,1,2,15,11,5.0,4.0,13,26,5,12,2,4,0,0,3.0,3.25,2.1,3.05,3.35,2.1,05/06,2349,2492
1547,2005-08-14,VfB Stuttgart,1. FC Köln,2,3,2,0,1,2,19,14,6.0,5.0,21,20,10,3,3,6,0,1,1.53,3.6,6.5,1.5,3.9,5.6,05/06,2333,2289
1548,2005-08-27,Bayern München,Hertha BSC,3,0,0,0,0,1,18,7,6.0,2.0,15,27,5,3,0,5,0,0,1.4,3.75,7.5,1.4,4.0,7.2,05/06,2726,2390
1549,2005-08-27,Eintracht Frankfurt,1. FC Nürnberg,1,0,0,0,0,1,11,11,4.0,4.0,19,18,13,4,2,2,0,0,2.1,3.25,3.0,2.05,3.3,3.2,05/06,2531,2196
1550,2005-08-27,1. FC Köln,1. FC Kaiserslautern,2,3,2,0,1,2,17,16,6.0,5.0,12,21,11,5,3,3,0,0,2.0,3.25,3.25,2.0,3.35,3.3,05/06,2289,2076
1551,2005-08-27,Hamburger SV,Hannover 96,1,1,1,1,1,1,18,10,6.0,3.0,20,16,9,4,1,4,0,0,1.5,3.6,6.0,1.45,3.9,6.5,05/06,2340,2211
1552,2005-08-27,FC Schalke 04,Borussia Mönchengladbach,1,1,1,0,1,2,23,6,8.0,2.0,16,21,6,1,1,3,0,0,1.33,4.2,8.0,1.3,5.0,7.5,05/06,2461,2534
1553,2005-08-27,Werder Bremen,VfB Stuttgart,1,1,1,1,0,0,23,11,8.0,4.0,21,20,6,4,2,2,0,0,1.8,3.25,4.0,1.75,3.3,4.4,05/06,2492,2333
1554,2005-08-27,VfL Wolfsburg,Bayer Leverkusen,2,1,0,1,1,1,11,13,4.0,4.0,15,16,10,5,4,1,0,2,2.5,3.2,2.5,2.5,3.3,2.5,05/06,2471,2555
1556,2005-08-28,MSV Duisburg,Borussia Dortmund,1,1,1,0,0,1,14,19,5.0,6.0,18,10,5,4,1,3,0,0,2.62,3.2,2.37,2.9,3.3,2.2,05/06,2186,2610
1557,2005-09-10,Hannover 96,Eintracht Frankfurt,2,0,0,1,0,0,13,16,4.0,5.0,17,15,1,6,2,1,0,0,1.72,3.25,4.33,1.75,3.5,4.1,05/06,2211,2531
1558,2005-09-10,1. FC Kaiserslautern,Werder Bremen,1,5,2,0,3,2,12,18,4.0,6.0,16,15,2,6,1,3,0,0,2.7,3.2,2.3,2.75,3.35,2.3,05/06,2076,2492
1559,2005-09-10,Bayer Leverkusen,FC Schalke 04,1,1,1,0,0,1,17,14,6.0,5.0,14,15,8,6,4,4,0,0,2.5,3.0,2.62,2.75,3.3,2.3,05/06,2555,2461
