,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,H_ELO,A_ELO
19,2018-09-15,Bayern München,Bayer Leverkusen,3,1,0,2,1,0,18,3,5.0,1.0,4,12,9,1,0,1,0,1,1.2,7.0,13.0,1.22,6.75,12.5,18/19,2726,2555
20,2018-09-15,Fortuna Düsseldorf,TSG 1899 Hoffenheim,2,1,0,1,0,0,8,18,4.0,5.0,10,19,0,9,1,2,0,0,4.0,3.6,1.9,3.9,3.7,1.91,18/19,2380,2525
21,2018-09-15,1. FSV Mainz 05,FC Augsburg,2,1,0,0,0,1,22,13,7.0,4.0,9,16,5,4,1,2,0,0,2.54,3.25,2.87,2.6,3.1,2.9,18/19,2349,2335
22,2018-09-15,Borussia Mönchengladbach,FC Schalke 04,2,1,0,1,0,0,15,15,4.0,6.0,5,12,6,6,0,4,0,0,2.37,3.4,3.0,2.4,3.3,3.0,18/19,2534,2461
23,2018-09-15,RBLeipzig,Hannover 96,3,2,0,2,1,0,15,16,6.0,8.0,12,12,4,12,4,4,0,0,1.53,4.33,5.5,1.53,4.5,5.75,18/19,2638,2211
24,2018-09-15,VfL Wolfsburg,Hertha BSC,2,2,1,0,0,1,15,9,6.0,5.0,10,13,7,2,1,2,0,0,2.1,3.25,3.75,2.1,3.2,3.8,18/19,2471,2390
25,2018-09-16,SC Freiburg,VfB Stuttgart,3,3,1,1,1,1,12,11,5.0,6.0,13,11,5,8,3,4,1,0,2.62,3.25,2.75,2.55,3.2,2.9,18/19,2414,2333
26,2018-09-16,Werder Bremen,1. FC Nürnberg,1,1,1,1,0,0,14,11,2.0,2.0,17,5,4,7,2,0,0,0,1.66,4.0,5.0,1.67,4.0,5.0,18/19,2492,2196
27,2018-09-21,VfB Stuttgart,Fortuna Düsseldorf,0,0,1,0,0,1,10,19,1.0,7.0,8,19,2,9,0,2,0,0,1.72,3.6,5.25,1.72,3.7,5.0,18/19,2333,2380
28,2018-09-22,FC Augsburg,Werder Bremen,2,3,2,1,2,2,21,12,7.0,7.0,10,11,7,4,2,2,0,0,2.5,3.25,2.9,2.45,3.4,2.85,18/19,2335,2492
29,2018-09-22,Hertha BSC,Borussia Mönchengladbach,4,2,0,2,1,0,16,17,7.0,4.0,9,13,8,7,2,2,0,0,2.37,3.3,3.1,2.5,3.3,2.9,18/19,2390,2534
30,2018-09-22,TSG 1899 Hoffenheim,Borussia Dortmund,1,1,1,1,0,0,17,8,5.0,2.0,12,10,4,4,2,1,0,1,2.62,3.75,2.4,2.7,3.5,2.55,18/19,2525,2610
31,2018-09-22,1. FC Nürnberg,Hannover 96,2,0,0,0,0,1,14,9,6.0,3.0,16,7,9,3,3,1,0,1,2.5,3.25,2.9,2.45,3.4,2.85,18/19,2196,2211
32,2018-09-22,FC Schalke 04,Bayern München,0,2,2,0,1,2,10,14,2.0,7.0,12,11,0,8,2,1,0,0,8.0,4.5,1.4,8.5,5.0,1.36,18/19,2461,2726
