,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
750,SC Freiburg,Borussia Dortmund,5.5,4.0,1.62,2
751,Hamburger SV,Hannover 96,2.3,3.3,3.2,0
752,1. FSV Mainz 05,Hertha BSC,1.91,3.6,4.0,2
753,VfB Stuttgart,Bayern München,13.0,7.0,1.2,2
754,VfL Wolfsburg,TSG 1899 Hoffenheim,1.57,4.33,5.5,0
755,FC Augsburg,Eintracht Frankfurt,1.91,3.8,3.8,1
756,Werder Bremen,Bayer Leverkusen,4.2,3.75,1.85,0
757,Borussia Dortmund,1. FSV Mainz 05,1.33,5.25,9.5,0
758,Borussia Mönchengladbach,1. FC Köln,1.73,3.6,5.25,0
759,Werder Bremen,FC Augsburg,2.6,3.4,2.7,0
760,TSG 1899 Hoffenheim,VfB Stuttgart,1.95,3.7,3.8,0
761,Bayer Leverkusen,VfL Wolfsburg,2.3,3.5,3.0,2
762,Bayern München,Hamburger SV,1.09,11.0,26.0,0
763,Eintracht Frankfurt,FC Schalke 04,2.3,3.6,3.0,0
764,Hertha BSC,SC Freiburg,2.15,3.4,3.5,2
765,Hannover 96,SC Paderborn 07,1.85,3.6,4.33,2
766,VfB Stuttgart,Borussia Dortmund,6.0,4.0,1.57,2
767,FC Augsburg,Bayer Leverkusen,3.1,3.4,2.3,1
768,1. FC Köln,Hannover 96,2.3,3.2,3.3,1
769,SC Freiburg,TSG 1899 Hoffenheim,3.1,3.5,2.25,1
770,SC Paderborn 07,Bayern München,17.0,7.5,1.17,2
771,FC Schalke 04,Werder Bremen,2.05,3.5,3.6,1
772,1. FSV Mainz 05,Eintracht Frankfurt,2.4,3.5,2.9,0
773,Hamburger SV,Borussia Mönchengladbach,3.1,3.4,2.3,1
774,VfL Wolfsburg,Hertha BSC,1.33,5.25,9.0,0
775,Bayern München,1. FC Köln,1.1,10.0,26.0,0
776,TSG 1899 Hoffenheim,1. FSV Mainz 05,2.0,3.6,3.6,0
777,Bayer Leverkusen,SC Freiburg,1.36,4.75,9.0,0
778,Hertha BSC,FC Augsburg,2.8,3.4,2.5,0
779,Eintracht Frankfurt,Hamburger SV,2.0,3.6,3.6,0
780,Hannover 96,VfB Stuttgart,2.1,3.5,3.4,1
781,Borussia Dortmund,FC Schalke 04,1.5,4.33,6.5,0
782,Borussia Mönchengladbach,SC Paderborn 07,1.57,4.2,5.75,0
783,Werder Bremen,VfL Wolfsburg,3.6,3.75,1.91,2
784,VfB Stuttgart,Hertha BSC,2.1,3.3,3.6,1
785,FC Schalke 04,TSG 1899 Hoffenheim,2.25,3.4,3.2,0
786,1. FSV Mainz 05,Borussia Mönchengladbach,2.6,3.3,2.75,1
787,Hamburger SV,Borussia Dortmund,6.0,4.33,1.53,1
788,SC Freiburg,Werder Bremen,2.6,3.4,2.7,2
789,Hannover 96,Bayern München,13.0,6.5,1.22,2
790,FC Augsburg,VfL Wolfsburg,3.5,3.5,2.1,0
791,1. FC Köln,Eintracht Frankfurt,2.4,3.3,3.0,0
792,SC Paderborn 07,Bayer Leverkusen,5.0,3.8,1.7,2
793,Bayer Leverkusen,VfB Stuttgart,1.44,4.33,7.5,0
794,Werder Bremen,Bayern München,10.0,5.75,1.29,2
795,TSG 1899 Hoffenheim,Hamburger SV,1.75,3.75,4.75,0
796,Eintracht Frankfurt,SC Paderborn 07,1.73,3.8,4.75,0
797,Borussia Dortmund,1. FC Köln,1.33,5.0,10.0,1
798,FC Augsburg,1. FSV Mainz 05,1.95,3.5,4.0,2
799,Hertha BSC,FC Schalke 04,2.75,3.25,2.63,1
800,Borussia Mönchengladbach,Hannover 96,1.75,3.75,4.75,0
801,VfL Wolfsburg,SC Freiburg,1.33,5.25,9.0,0
802,Hamburger SV,Hertha BSC,2.38,3.25,3.1,2
803,1. FC Köln,Werder Bremen,2.2,3.4,3.3,1
804,SC Freiburg,FC Augsburg,3.0,3.4,2.38,0
805,Hannover 96,Borussia Dortmund,5.0,4.2,1.62,2
806,SC Paderborn 07,TSG 1899 Hoffenheim,3.75,3.5,2.0,1
807,FC Schalke 04,Bayer Leverkusen,3.0,3.5,2.3,2
808,VfB Stuttgart,Eintracht Frankfurt,2.5,3.4,2.8,0
809,Bayern München,Borussia Mönchengladbach,1.17,7.5,17.0,2
810,1. FSV Mainz 05,VfL Wolfsburg,3.25,3.6,2.15,1
811,VfL Wolfsburg,VfB Stuttgart,1.44,4.75,7.0,0
812,Borussia Dortmund,Bayern München,3.3,3.5,2.15,2
813,Eintracht Frankfurt,Hannover 96,2.0,3.75,3.5,1
814,SC Freiburg,1. FC Köln,2.6,3.2,2.8,0
815,TSG 1899 Hoffenheim,Borussia Mönchengladbach,2.7,3.5,2.6,2
816,Bayer Leverkusen,Hamburger SV,1.36,5.0,8.5,0
817,Werder Bremen,1. FSV Mainz 05,2.5,3.4,2.8,1
818,FC Augsburg,FC Schalke 04,2.4,3.3,3.0,1
819,Hertha BSC,SC Paderborn 07,1.95,3.5,4.0,0
820,Hannover 96,Hertha BSC,1.95,3.3,4.2,1
821,Bayern München,Eintracht Frankfurt,1.17,7.5,17.0,0
822,Hamburger SV,VfL Wolfsburg,4.33,3.75,1.8,2
823,1. FSV Mainz 05,Bayer Leverkusen,3.3,3.4,2.2,2
824,Borussia Mönchengladbach,Borussia Dortmund,2.8,3.4,2.5,0
825,SC Paderborn 07,FC Augsburg,3.1,3.4,2.3,0
826,FC Schalke 04,SC Freiburg,1.67,3.75,5.5,1
827,VfB Stuttgart,Werder Bremen,2.15,3.5,3.3,0
828,1. FC Köln,TSG 1899 Hoffenheim,2.4,3.3,3.0,0
829,Eintracht Frankfurt,Borussia Mönchengladbach,4.2,3.75,1.85,1
830,FC Augsburg,VfB Stuttgart,2.2,3.4,3.3,0
831,Borussia Dortmund,SC Paderborn 07,1.22,6.5,13.0,0
832,SC Freiburg,1. FSV Mainz 05,2.8,3.3,2.6,2
833,TSG 1899 Hoffenheim,Bayern München,5.5,4.2,1.6,2
834,Bayer Leverkusen,Hannover 96,1.36,5.25,8.0,0
835,Hertha BSC,1. FC Köln,2.5,3.1,3.1,1
836,VfL Wolfsburg,FC Schalke 04,1.7,3.8,5.0,1
837,Werder Bremen,Hamburger SV,2.0,3.5,3.8,0
838,1. FSV Mainz 05,FC Schalke 04,2.45,3.3,2.9,0
839,Bayern München,Hertha BSC,1.17,7.5,17.0,0
840,Borussia Dortmund,Eintracht Frankfurt,1.33,5.25,9.0,0
841,1. FC Köln,Bayer Leverkusen,4.75,3.8,1.75,1
842,Hamburger SV,FC Augsburg,2.7,3.4,2.6,0
843,Hannover 96,TSG 1899 Hoffenheim,2.4,3.5,2.88,2
844,VfB Stuttgart,SC Freiburg,1.91,3.6,4.0,1
845,SC Paderborn 07,Werder Bremen,2.7,3.4,2.6,1
846,Borussia Mönchengladbach,VfL Wolfsburg,2.4,3.5,2.88,0
847,VfL Wolfsburg,Hannover 96,1.4,4.75,8.0,1
848,FC Augsburg,1. FC Köln,2.1,3.4,3.6,1
849,SC Freiburg,SC Paderborn 07,1.91,3.6,4.0,2
850,TSG 1899 Hoffenheim,Borussia Dortmund,4.0,4.0,1.83,1
851,Bayer Leverkusen,Bayern München,2.38,3.3,3.1,0
852,FC Schalke 04,VfB Stuttgart,1.91,3.6,4.0,0
853,Werder Bremen,Eintracht Frankfurt,2.05,3.75,3.4,0
854,1. FSV Mainz 05,Hamburger SV,1.73,3.8,4.75,2
855,Hertha BSC,Borussia Mönchengladbach,5.0,3.6,1.75,2
856,Hamburger SV,SC Freiburg,2.2,3.4,3.3,1
857,Bayern München,FC Augsburg,1.53,4.33,6.0,2
858,Borussia Dortmund,Hertha BSC,1.29,5.5,11.0,0
859,Eintracht Frankfurt,TSG 1899 Hoffenheim,2.8,3.6,2.4,0
860,Hannover 96,Werder Bremen,2.0,3.6,3.6,1
861,Borussia Mönchengladbach,Bayer Leverkusen,2.5,3.4,2.8,0
862,VfB Stuttgart,1. FSV Mainz 05,2.0,3.5,3.8,0
863,1. FC Köln,FC Schalke 04,2.75,3.3,2.6,0
864,SC Paderborn 07,VfL Wolfsburg,4.75,4.2,1.67,2
865,VfL Wolfsburg,Borussia Dortmund,2.63,3.5,2.6,0
866,Werder Bremen,Borussia Mönchengladbach,4.33,4.0,1.75,2
867,VfB Stuttgart,Hamburger SV,1.75,3.8,4.75,0
868,FC Schalke 04,SC Paderborn 07,1.62,4.2,5.25,0
869,SC Freiburg,Bayern München,7.0,4.2,1.5,0
870,Bayer Leverkusen,TSG 1899 Hoffenheim,1.4,5.0,7.5,0
871,Hertha BSC,Eintracht Frankfurt,2.0,3.5,3.75,1
872,FC Augsburg,Hannover 96,2.3,3.4,3.1,2
873,1. FSV Mainz 05,1. FC Köln,2.1,3.4,3.6,0
874,Hannover 96,SC Freiburg,1.95,3.6,3.8,0
875,Borussia Mönchengladbach,FC Augsburg,1.55,4.5,5.5,2
876,TSG 1899 Hoffenheim,Hertha BSC,1.91,3.75,3.9,0
877,Hamburger SV,FC Schalke 04,2.4,3.6,2.8,0
878,Eintracht Frankfurt,Bayer Leverkusen,4.5,4.33,1.67,0
879,SC Paderborn 07,VfB Stuttgart,3.4,3.8,2.05,2
880,Borussia Dortmund,Werder Bremen,1.29,5.75,10.0,0
881,Bayern München,1. FSV Mainz 05,1.2,7.0,13.0,0
882,1. FC Köln,VfL Wolfsburg,3.8,3.8,1.91,1
883,Bayern München,Hamburger SV,1.08,11.0,29.0,0
884,FC Augsburg,Hertha BSC,2.0,3.4,3.9,2
885,SV Darmstadt 98,Hannover 96,2.5,3.3,2.9,1
886,Borussia Dortmund,Borussia Mönchengladbach,1.73,3.75,5.0,0
887,Bayer Leverkusen,TSG 1899 Hoffenheim,1.5,4.33,6.5,0
888,Werder Bremen,FC Schalke 04,3.0,3.4,2.38,2
889,1. FSV Mainz 05,FC Ingolstadt 04,2.05,3.4,3.75,2
890,VfB Stuttgart,1. FC Köln,2.05,3.3,3.8,2
891,VfL Wolfsburg,Eintracht Frankfurt,1.44,4.75,7.0,0
892,Hertha BSC,Werder Bremen,2.05,3.5,3.6,1
893,Eintracht Frankfurt,FC Augsburg,2.25,3.4,3.25,1
894,1. FC Köln,VfL Wolfsburg,4.2,3.8,1.83,1
895,TSG 1899 Hoffenheim,Bayern München,9.5,6.0,1.25,2
896,FC Schalke 04,SV Darmstadt 98,1.44,4.5,7.5,1
897,Hannover 96,Bayer Leverkusen,4.2,3.75,1.83,2
898,Hamburger SV,VfB Stuttgart,2.88,3.5,2.4,0
899,FC Ingolstadt 04,Borussia Dortmund,7.0,4.5,1.45,2
900,Borussia Mönchengladbach,1. FSV Mainz 05,1.67,4.0,5.0,2
901,VfL Wolfsburg,FC Schalke 04,2.0,3.8,3.5,0
902,VfB Stuttgart,Eintracht Frankfurt,1.95,3.6,3.8,2
903,1. FSV Mainz 05,Hannover 96,2.0,3.5,3.8,0
904,1. FC Köln,Hamburger SV,1.83,3.5,4.5,0
905,SV Darmstadt 98,TSG 1899 Hoffenheim,3.0,3.3,2.4,1
906,Bayern München,Bayer Leverkusen,1.33,5.25,9.0,0
907,FC Augsburg,FC Ingolstadt 04,2.0,3.4,3.8,2
908,Werder Bremen,Borussia Mönchengladbach,3.2,3.4,2.25,0
909,Borussia Dortmund,Hertha BSC,1.2,6.5,17.0,0
910,Borussia Mönchengladbach,Hamburger SV,1.67,4.0,5.0,2
911,FC Ingolstadt 04,VfL Wolfsburg,4.0,3.6,1.91,1
912,Hertha BSC,VfB Stuttgart,2.5,3.4,2.8,0
913,Eintracht Frankfurt,1. FC Köln,2.3,3.3,3.2,0
914,Hannover 96,Borussia Dortmund,7.5,4.5,1.44,2
915,Bayer Leverkusen,SV Darmstadt 98,1.25,6.0,13.0,2
916,Bayern München,FC Augsburg,1.13,9.5,19.0,0
917,TSG 1899 Hoffenheim,Werder Bremen,1.95,3.75,3.75,2
918,FC Schalke 04,1. FSV Mainz 05,1.85,3.75,4.2,0
919,1. FSV Mainz 05,TSG 1899 Hoffenheim,2.15,3.5,3.3,0
920,Hamburger SV,Eintracht Frankfurt,2.5,3.5,2.75,1
921,SV Darmstadt 98,Bayern München,19.0,7.0,1.17,2
922,VfL Wolfsburg,Hertha BSC,1.5,4.33,6.5,0
923,1. FC Köln,Borussia Mönchengladbach,2.4,3.3,3.0,0
924,Werder Bremen,FC Ingolstadt 04,2.05,3.5,3.6,2
925,FC Augsburg,Hannover 96,2.0,3.5,3.75,0
926,Borussia Dortmund,Bayer Leverkusen,1.73,4.0,4.5,0
927,VfB Stuttgart,FC Schalke 04,2.63,3.5,2.6,2
928,SV Darmstadt 98,Werder Bremen,2.63,3.25,2.8,0
929,Hertha BSC,1. FC Köln,2.38,3.25,3.1,0
930,FC Ingolstadt 04,Hamburger SV,2.3,3.3,3.25,2
931,Bayern München,VfL Wolfsburg,1.25,6.0,12.0,0
932,Borussia Mönchengladbach,FC Augsburg,2.15,3.4,3.4,0
933,FC Schalke 04,Eintracht Frankfurt,1.83,3.8,4.2,0
934,Bayer Leverkusen,1. FSV Mainz 05,1.53,4.33,6.0,0
935,TSG 1899 Hoffenheim,Borussia Dortmund,7.0,4.75,1.44,1
936,Hannover 96,VfB Stuttgart,2.88,3.5,2.4,2
937,1. FC Köln,FC Ingolstadt 04,2.05,3.3,3.8,1
938,FC Augsburg,TSG 1899 Hoffenheim,2.25,3.5,3.1,2
939,Hamburger SV,FC Schalke 04,2.88,3.5,2.4,2
940,1. FSV Mainz 05,Bayern München,12.0,6.0,1.25,2
941,VfB Stuttgart,Borussia Mönchengladbach,2.1,3.5,3.4,2
942,VfL Wolfsburg,Hannover 96,1.4,4.75,8.0,1
943,Werder Bremen,Bayer Leverkusen,3.8,3.6,1.95,2
944,Borussia Dortmund,SV Darmstadt 98,1.14,8.5,17.0,1
945,Eintracht Frankfurt,Hertha BSC,1.95,3.5,4.0,1
946,SV Darmstadt 98,1. FSV Mainz 05,3.1,3.25,2.4,2
947,Borussia Mönchengladbach,VfL Wolfsburg,2.6,3.4,2.7,0
948,Hannover 96,Werder Bremen,2.6,3.4,2.7,0
949,TSG 1899 Hoffenheim,VfB Stuttgart,2.45,3.75,2.65,1
950,FC Ingolstadt 04,Eintracht Frankfurt,2.5,3.25,2.9,0
951,Hertha BSC,Hamburger SV,2.2,3.2,3.5,0
952,FC Schalke 04,1. FC Köln,1.73,3.8,4.8,2
953,Bayer Leverkusen,FC Augsburg,1.4,4.75,8.0,1
954,Bayern München,Borussia Dortmund,1.5,4.33,6.5,0
955,1. FSV Mainz 05,Borussia Dortmund,5.75,4.75,1.5,2
956,Eintracht Frankfurt,Borussia Mönchengladbach,2.45,3.4,2.88,2
957,Hamburger SV,Bayer Leverkusen,4.75,3.5,1.8,1
958,FC Schalke 04,Hertha BSC,1.75,3.75,4.75,0
959,Werder Bremen,Bayern München,17.0,7.0,1.18,2
960,VfL Wolfsburg,TSG 1899 Hoffenheim,1.62,4.33,5.0,0
961,FC Augsburg,SV Darmstadt 98,1.8,3.5,4.75,2
962,VfB Stuttgart,FC Ingolstadt 04,1.8,3.75,4.33,0
963,1. FC Köln,Hannover 96,1.95,3.5,4.0,2
964,TSG 1899 Hoffenheim,Hamburger SV,2.1,3.6,3.4,2
965,Bayern München,1. FC Köln,1.1,9.0,29.0,0
966,Hannover 96,Eintracht Frankfurt,2.5,3.4,2.8,2
967,FC Ingolstadt 04,Hertha BSC,2.4,3.2,3.1,2
968,Bayer Leverkusen,VfB Stuttgart,1.57,4.33,5.5,0
969,1. FSV Mainz 05,Werder Bremen,2.05,3.5,3.6,2
970,SV Darmstadt 98,VfL Wolfsburg,4.75,3.75,1.75,2
971,Borussia Mönchengladbach,FC Schalke 04,2.15,3.5,3.3,0
972,Borussia Dortmund,FC Augsburg,1.2,7.0,13.0,0
973,Eintracht Frankfurt,Bayern München,15.0,8.0,1.17,1
974,1. FC Köln,TSG 1899 Hoffenheim,2.05,3.5,3.4,1
975,Hertha BSC,Borussia Mönchengladbach,3.0,3.3,2.4,2
976,FC Schalke 04,FC Ingolstadt 04,1.8,3.5,4.75,1
977,Werder Bremen,Borussia Dortmund,7.5,5.0,1.4,2
978,VfL Wolfsburg,Bayer Leverkusen,2.63,3.4,2.7,0
979,FC Augsburg,1. FSV Mainz 05,2.3,3.4,3.1,1
980,Hamburger SV,Hannover 96,2.0,3.3,4.0,2
981,VfB Stuttgart,SV Darmstadt 98,1.67,4.0,5.0,0
982,Hannover 96,Hertha BSC,2.63,3.3,2.7,2
983,Bayern München,VfB Stuttgart,1.1,11.0,21.0,0
984,TSG 1899 Hoffenheim,Eintracht Frankfurt,2.1,3.6,3.4,1
985,SV Darmstadt 98,Hamburger SV,2.75,3.0,2.8,1
986,Borussia Mönchengladbach,FC Ingolstadt 04,1.62,3.8,6.0,1
987,1. FSV Mainz 05,VfL Wolfsburg,3.3,3.6,2.15,0
988,Bayer Leverkusen,1. FC Köln,1.5,4.33,6.5,2
989,FC Augsburg,Werder Bremen,2.2,3.4,3.3,2
990,Borussia Dortmund,FC Schalke 04,1.3,6.0,8.5,0
991,Hamburger SV,Borussia Dortmund,8.5,5.0,1.36,0
992,Eintracht Frankfurt,Bayer Leverkusen,3.8,3.6,1.95,2
993,1. FC Köln,1. FSV Mainz 05,2.15,3.5,3.3,1
994,Borussia Mönchengladbach,Hannover 96,1.5,4.2,7.0,0
995,FC Schalke 04,Bayern München,13.0,6.5,1.22,2
996,VfB Stuttgart,FC Augsburg,1.95,3.8,3.6,2
997,VfL Wolfsburg,Werder Bremen,1.57,4.0,5.75,0
998,FC Ingolstadt 04,SV Darmstadt 98,2.05,3.25,4.0,0
999,Hertha BSC,TSG 1899 Hoffenheim,2.0,3.5,3.8,0
1000,SV Darmstadt 98,1. FC Köln,2.9,3.1,2.6,1
1001,Bayern München,Hertha BSC,1.08,11.0,26.0,0
1002,Hannover 96,FC Ingolstadt 04,2.6,3.2,2.8,0
1003,Werder Bremen,Hamburger SV,2.25,3.4,3.2,2
1004,TSG 1899 Hoffenheim,Borussia Mönchengladbach,3.1,3.5,2.25,1
1005,1. FSV Mainz 05,Eintracht Frankfurt,2.2,3.5,3.2,0
1006,Borussia Dortmund,VfB Stuttgart,1.2,7.5,12.0,0
1007,Bayer Leverkusen,FC Schalke 04,1.62,4.2,5.25,1
1008,FC Augsburg,VfL Wolfsburg,3.3,3.4,2.2,1
1009,FC Schalke 04,Hannover 96,1.6,4.0,5.75,0
1010,1. FC Köln,FC Augsburg,2.2,3.3,3.4,2
1011,Hamburger SV,1. FSV Mainz 05,2.25,3.4,3.2,2
1012,Hertha BSC,Bayer Leverkusen,3.75,3.4,2.05,0
1013,FC Ingolstadt 04,TSG 1899 Hoffenheim,2.25,3.3,3.3,1
1014,Borussia Mönchengladbach,Bayern München,9.0,5.25,1.33,0
1015,VfL Wolfsburg,Borussia Dortmund,4.0,4.33,1.75,2
1016,VfB Stuttgart,Werder Bremen,1.95,3.75,3.75,1
1017,Eintracht Frankfurt,SV Darmstadt 98,1.91,3.4,4.33,2
1018,1. FSV Mainz 05,VfB Stuttgart,2.05,3.6,3.5,1
1019,SV Darmstadt 98,Hertha BSC,3.1,3.1,2.5,2
1020,TSG 1899 Hoffenheim,Hannover 96,1.8,3.5,4.5,0
1021,Bayer Leverkusen,Borussia Mönchengladbach,1.95,3.75,3.75,0
1022,Werder Bremen,1. FC Köln,2.5,3.3,2.88,1
1023,VfL Wolfsburg,Hamburger SV,1.57,4.2,5.75,1
1024,Bayern München,FC Ingolstadt 04,1.07,13.0,29.0,0
1025,FC Augsburg,FC Schalke 04,2.63,3.5,2.63,0
1026,Borussia Dortmund,Eintracht Frankfurt,1.17,8.0,15.0,0
1027,FC Schalke 04,TSG 1899 Hoffenheim,1.67,4.0,5.0,0
1028,VfB Stuttgart,VfL Wolfsburg,3.5,3.6,2.0,0
1029,Hannover 96,Bayern München,15.0,6.5,1.2,2
1030,Eintracht Frankfurt,Werder Bremen,2.25,3.4,3.2,0
1031,FC Ingolstadt 04,Bayer Leverkusen,4.75,3.5,1.8,2
1032,1. FC Köln,Borussia Dortmund,7.0,4.75,1.44,0
1033,Hamburger SV,FC Augsburg,2.4,3.3,3.0,2
1034,Hertha BSC,1. FSV Mainz 05,2.15,3.4,3.4,0
1035,Borussia Mönchengladbach,SV Darmstadt 98,1.5,4.33,6.5,0
1036,Hamburger SV,Bayern München,13.0,6.5,1.22,2
1037,Hannover 96,SV Darmstadt 98,2.3,3.3,3.2,2
1038,Hertha BSC,FC Augsburg,2.2,3.3,3.4,1
1039,TSG 1899 Hoffenheim,Bayer Leverkusen,4.33,3.8,1.8,1
1040,FC Ingolstadt 04,1. FSV Mainz 05,2.4,3.2,3.1,0
1041,Borussia Mönchengladbach,Borussia Dortmund,4.5,4.2,1.7,2
1042,1. FC Köln,VfB Stuttgart,2.15,3.5,3.3,2
1043,Eintracht Frankfurt,VfL Wolfsburg,3.6,3.5,2.05,0
1044,FC Schalke 04,Werder Bremen,1.67,4.0,5.0,2
1045,1. FSV Mainz 05,Borussia Mönchengladbach,2.6,3.4,2.7,0
1046,Werder Bremen,Hertha BSC,2.5,3.3,2.8,1
1047,FC Augsburg,Eintracht Frankfurt,1.95,3.6,4.0,1
1048,SV Darmstadt 98,FC Schalke 04,3.4,3.4,2.15,2
1049,Borussia Dortmund,FC Ingolstadt 04,1.17,7.0,19.0,0
1050,Bayer Leverkusen,Hannover 96,1.25,6.0,12.0,0
1051,VfB Stuttgart,Hamburger SV,1.95,3.6,3.8,0
1052,Bayern München,TSG 1899 Hoffenheim,1.08,13.0,21.0,0
1053,VfL Wolfsburg,1. FC Köln,1.57,4.0,5.75,1
1054,Borussia Mönchengladbach,Werder Bremen,1.7,4.0,4.5,0
1055,Eintracht Frankfurt,VfB Stuttgart,2.7,3.6,2.5,2
1056,Hannover 96,1. FSV Mainz 05,2.75,3.3,2.6,2
1057,Hertha BSC,Borussia Dortmund,6.5,4.33,1.5,1
1058,FC Ingolstadt 04,FC Augsburg,2.5,3.1,3.1,0
1059,Bayer Leverkusen,Bayern München,5.25,4.2,1.6,1
1060,FC Schalke 04,VfL Wolfsburg,2.45,3.5,2.8,0
1061,Hamburger SV,1. FC Köln,2.5,3.2,3.0,1
1062,TSG 1899 Hoffenheim,SV Darmstadt 98,2.0,3.3,4.0,2
1063,1. FSV Mainz 05,FC Schalke 04,2.9,3.4,2.45,0
1064,SV Darmstadt 98,Bayer Leverkusen,4.75,3.75,1.75,2
1065,Borussia Dortmund,Hannover 96,1.14,8.5,17.0,0
1066,1. FC Köln,Eintracht Frankfurt,1.91,3.8,3.8,0
1067,VfB Stuttgart,Hertha BSC,2.1,3.5,3.5,0
1068,VfL Wolfsburg,FC Ingolstadt 04,1.73,3.6,5.25,0
1069,Werder Bremen,TSG 1899 Hoffenheim,2.2,3.5,3.25,1
1070,FC Augsburg,Bayern München,13.0,6.0,1.22,2
1071,Hamburger SV,Borussia Mönchengladbach,3.3,3.6,2.1,0
1072,Eintracht Frankfurt,Hamburger SV,2.25,3.5,3.0,1
1073,FC Ingolstadt 04,Werder Bremen,2.1,3.3,3.6,0
1074,Borussia Mönchengladbach,1. FC Köln,1.91,3.6,4.0,0
1075,Bayern München,SV Darmstadt 98,1.08,12.0,26.0,0
1076,TSG 1899 Hoffenheim,1. FSV Mainz 05,2.4,3.4,2.9,0
1077,Hertha BSC,VfL Wolfsburg,2.75,3.3,2.6,1
1078,FC Schalke 04,VfB Stuttgart,2.15,3.75,3.1,1
1079,Bayer Leverkusen,Borussia Dortmund,3.4,3.5,2.1,2
1080,Hannover 96,FC Augsburg,2.63,3.3,2.75,2
1081,1. FC Köln,Hertha BSC,2.1,3.3,3.75,2
1082,VfL Wolfsburg,Bayern München,9.0,4.5,1.4,2
1083,Werder Bremen,SV Darmstadt 98,2.1,3.4,3.6,1
1084,VfB Stuttgart,Hannover 96,1.53,4.0,6.5,2
1085,Hamburger SV,FC Ingolstadt 04,2.4,3.0,3.3,1
1086,1. FSV Mainz 05,Bayer Leverkusen,3.75,3.5,2.0,0
1087,FC Augsburg,Borussia Mönchengladbach,2.7,3.4,2.6,1
1088,Borussia Dortmund,TSG 1899 Hoffenheim,1.18,7.0,17.0,0
1089,Eintracht Frankfurt,FC Schalke 04,3.2,3.4,2.25,1
1090,FC Ingolstadt 04,1. FC Köln,2.5,3.1,3.0,1
1091,Hannover 96,VfL Wolfsburg,4.2,3.75,1.85,2
1092,Bayern München,1. FSV Mainz 05,1.13,9.0,21.0,2
1093,SV Darmstadt 98,Borussia Dortmund,8.0,4.75,1.4,2
1094,Hertha BSC,Eintracht Frankfurt,1.85,3.6,4.33,0
1095,TSG 1899 Hoffenheim,FC Augsburg,2.25,3.4,3.3,0
1096,Bayer Leverkusen,Werder Bremen,1.44,4.75,7.0,2
1097,Borussia Mönchengladbach,VfB Stuttgart,2.05,3.8,3.4,0
1098,FC Schalke 04,Hamburger SV,1.85,3.6,4.33,0
1099,FC Augsburg,Bayer Leverkusen,2.9,3.3,2.5,1
1100,VfL Wolfsburg,Borussia Mönchengladbach,1.95,3.75,3.6,0
1101,Werder Bremen,Hannover 96,1.73,3.8,4.75,0
1102,VfB Stuttgart,TSG 1899 Hoffenheim,1.91,3.6,4.0,0
1103,Eintracht Frankfurt,FC Ingolstadt 04,2.5,3.2,3.0,1
1104,1. FC Köln,FC Schalke 04,2.4,3.2,3.1,2
1105,Borussia Dortmund,Bayern München,3.1,3.4,2.3,1
1106,Hamburger SV,Hertha BSC,2.88,3.1,2.63,0
1107,1. FSV Mainz 05,SV Darmstadt 98,1.75,3.6,5.0,1
1108,Hertha BSC,FC Schalke 04,2.4,3.2,3.0,0
1109,Borussia Mönchengladbach,Eintracht Frankfurt,1.57,4.33,5.5,0
1110,FC Ingolstadt 04,VfB Stuttgart,3.0,3.2,2.5,1
1111,Hannover 96,1. FC Köln,3.5,3.3,2.15,2
1112,SV Darmstadt 98,FC Augsburg,2.8,3.1,2.7,1
1113,Bayern München,Werder Bremen,1.13,9.0,21.0,0
1114,TSG 1899 Hoffenheim,VfL Wolfsburg,3.4,3.6,2.1,0
1115,Bayer Leverkusen,Hamburger SV,1.67,3.75,5.5,0
1116,Borussia Dortmund,1. FSV Mainz 05,1.36,5.0,8.5,0
1117,FC Schalke 04,Borussia Mönchengladbach,2.45,3.5,2.8,0
1118,Eintracht Frankfurt,Hannover 96,1.85,3.6,4.33,0
1119,1. FC Köln,Bayern München,11.0,5.0,1.29,2
1120,Hamburger SV,TSG 1899 Hoffenheim,2.25,3.4,3.2,2
1121,Hertha BSC,FC Ingolstadt 04,2.05,3.2,4.0,0
1122,Werder Bremen,1. FSV Mainz 05,2.38,3.4,3.0,1
1123,VfL Wolfsburg,SV Darmstadt 98,1.44,4.33,8.0,1
1124,FC Augsburg,Borussia Dortmund,6.5,4.33,1.5,2
1125,VfB Stuttgart,Bayer Leverkusen,2.3,3.5,2.9,2
1126,Bayer Leverkusen,VfL Wolfsburg,2.0,3.2,4.0,0
1127,FC Ingolstadt 04,FC Schalke 04,2.75,3.0,2.7,0
1128,1. FSV Mainz 05,FC Augsburg,2.1,3.4,3.6,0
1129,Hannover 96,Hamburger SV,3.1,3.25,2.38,2
1130,Borussia Dortmund,Werder Bremen,1.2,7.0,13.0,0
1131,SV Darmstadt 98,VfB Stuttgart,3.4,3.3,2.2,1
1132,Bayern München,Eintracht Frankfurt,1.13,9.0,21.0,0
1133,TSG 1899 Hoffenheim,1. FC Köln,2.38,3.3,3.1,1
1134,Borussia Mönchengladbach,Hertha BSC,1.83,3.6,4.33,0
1135,Hertha BSC,Hannover 96,1.5,4.2,7.0,1
1136,Eintracht Frankfurt,TSG 1899 Hoffenheim,2.3,3.25,3.1,2
