,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
454,FC Augsburg,Werder Bremen,1.67,3.75,5.0,0
455,Bayer Leverkusen,VfB Stuttgart,1.5,4.2,6.25,0
456,Bayern München,Eintracht Frankfurt,1.1,10.0,17.0,0
457,Hertha BSC,1. FC Nürnberg,1.83,3.6,4.2,2
458,Borussia Mönchengladbach,Bayer Leverkusen,2.55,3.3,2.7,2
459,VfL Wolfsburg,1. FSV Mainz 05,1.8,3.6,4.33,0
460,Werder Bremen,Borussia Dortmund,8.0,4.75,1.36,2
461,Hamburger SV,Hertha BSC,2.6,3.4,2.6,2
462,SC Freiburg,TSG 1899 Hoffenheim,2.63,3.5,2.5,1
463,1. FC Nürnberg,Bayern München,11.0,6.5,1.22,2
464,FC Schalke 04,Hannover 96,1.57,3.8,6.0,0
465,VfB Stuttgart,FC Augsburg,2.4,3.4,2.8,2
466,1. FSV Mainz 05,Hannover 96,1.91,3.5,4.0,0
467,Bayern München,SC Freiburg,1.08,10.0,23.0,0
468,Borussia Dortmund,Eintracht Frankfurt,1.25,6.0,10.0,0
469,TSG 1899 Hoffenheim,VfB Stuttgart,1.95,3.6,3.6,0
470,Bayer Leverkusen,FC Schalke 04,2.1,3.4,3.4,2
471,Werder Bremen,Borussia Mönchengladbach,3.5,3.5,2.05,1
472,FC Augsburg,1. FC Nürnberg,1.8,3.6,4.33,2
473,Hertha BSC,VfL Wolfsburg,2.38,3.4,2.88,2
474,FC Schalke 04,1. FSV Mainz 05,1.75,3.6,4.6,1
475,VfL Wolfsburg,Bayer Leverkusen,2.4,3.4,2.8,0
476,VfB Stuttgart,Hertha BSC,2.63,3.3,2.6,2
477,Hamburger SV,Borussia Dortmund,7.5,5.0,1.36,0
478,SC Freiburg,FC Augsburg,3.1,3.25,2.3,2
479,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1.95,3.6,3.6,1
480,Eintracht Frankfurt,Werder Bremen,1.7,3.75,4.75,1
481,Hannover 96,Bayern München,10.0,7.0,1.22,2
482,Hertha BSC,SC Freiburg,1.62,3.75,5.5,1
483,FC Augsburg,Hannover 96,1.75,3.6,4.75,1
484,Bayern München,FC Schalke 04,1.18,7.0,13.0,0
485,Borussia Dortmund,1. FC Nürnberg,1.22,6.5,11.0,0
486,Bayer Leverkusen,1. FSV Mainz 05,1.75,3.8,4.33,2
487,Werder Bremen,Hamburger SV,2.63,3.5,2.5,0
488,Eintracht Frankfurt,VfB Stuttgart,2.1,3.5,3.3,0
489,TSG 1899 Hoffenheim,VfL Wolfsburg,2.6,3.4,2.6,0
490,VfL Wolfsburg,Bayern München,9.0,5.75,1.29,2
491,FC Schalke 04,TSG 1899 Hoffenheim,1.75,4.0,4.2,0
492,Hannover 96,Bayer Leverkusen,3.0,3.4,2.3,1
493,Hamburger SV,Eintracht Frankfurt,2.5,3.3,2.75,1
494,Borussia Mönchengladbach,FC Augsburg,2.3,3.25,3.1,2
495,1. FC Nürnberg,Werder Bremen,1.91,3.5,4.0,2
496,SC Freiburg,Borussia Dortmund,9.0,5.0,1.33,2
497,1. FSV Mainz 05,Hertha BSC,2.2,3.2,3.4,1
498,FC Augsburg,FC Schalke 04,2.25,3.3,3.1,2
499,Bayern München,Bayer Leverkusen,1.14,8.0,15.0,0
500,Borussia Dortmund,Borussia Mönchengladbach,1.36,5.0,7.5,2
501,Hertha BSC,Hannover 96,1.91,3.5,4.0,2
502,TSG 1899 Hoffenheim,1. FSV Mainz 05,2.2,3.5,3.1,2
503,Werder Bremen,VfB Stuttgart,2.5,3.4,2.7,1
504,Eintracht Frankfurt,SC Freiburg,1.83,3.6,4.2,2
505,Hamburger SV,1. FC Nürnberg,2.2,3.4,3.2,0
506,SC Freiburg,Werder Bremen,2.2,3.3,3.25,0
507,VfL Wolfsburg,FC Augsburg,2.1,3.5,3.3,1
508,VfB Stuttgart,Hamburger SV,2.0,3.5,3.6,0
509,Hannover 96,Borussia Dortmund,4.75,4.0,1.67,2
510,1. FSV Mainz 05,Bayern München,11.0,6.5,1.22,2
511,Borussia Mönchengladbach,Hertha BSC,2.0,3.4,3.75,0
512,1. FC Nürnberg,Eintracht Frankfurt,2.4,3.3,2.88,2
513,Bayer Leverkusen,TSG 1899 Hoffenheim,1.73,3.8,4.5,2
514,Borussia Dortmund,FC Schalke 04,1.44,4.75,6.5,1
515,Hertha BSC,Bayern München,13.0,6.5,1.2,2
516,Werder Bremen,VfL Wolfsburg,3.1,3.4,2.25,2
517,FC Augsburg,Bayer Leverkusen,2.4,3.4,2.88,2
518,Eintracht Frankfurt,Borussia Mönchengladbach,2.6,3.3,2.63,0
519,Hamburger SV,SC Freiburg,2.1,3.4,3.4,1
520,TSG 1899 Hoffenheim,Hannover 96,1.91,3.75,3.6,0
521,1. FC Nürnberg,VfB Stuttgart,2.75,3.4,2.45,0
522,FC Schalke 04,Hertha BSC,1.8,3.6,4.25,0
523,1. FSV Mainz 05,FC Augsburg,2.38,3.25,3.0,0
